id,imdbID,Title,Genre
195,tt5726616,Call Me by Your Name,Drama
196,tt5726616,Call Me by Your Name,Romance
197,tt4154796,Avengers: Endgame,Action
198,tt4154796,Avengers: Endgame,Adventure
199,tt4154796,Avengers: Endgame,Drama
200,tt4154796,Avengers: Endgame,Sci-Fi
201,tt2380307,Coco,Animation
202,tt2380307,Coco,Adventure
203,tt2380307,Coco,Family
204,tt2380307,Coco,Fantasy
205,tt2380307,Coco,Music
206,tt2380307,Coco,Mystery
207,tt0169547,American Beauty,Drama
208,tt0112573,Braveheart,Biography
209,tt0112573,Braveheart,Drama
210,tt0112573,Braveheart,History
211,tt0112573,Braveheart,War
212,tt0082096,Das Boot,Adventure
213,tt0082096,Das Boot,Drama
214,tt0082096,Das Boot,Thriller
215,tt0082096,Das Boot,War
216,tt1187043,3 Idiots,Comedy
217,tt1187043,3 Idiots,Drama
218,tt0114709,Toy Story,Animation
219,tt0114709,Toy Story,Adventure
220,tt0114709,Toy Story,Comedy
221,tt0114709,Toy Story,Family
222,tt0114709,Toy Story,Fantasy
223,tt0086879,Amadeus,Biography
224,tt0086879,Amadeus,Drama
225,tt0086879,Amadeus,History
226,tt0086879,Amadeus,Music
227,tt0361748,Inglourious Basterds,Adventure
228,tt0361748,Inglourious Basterds,Drama
229,tt0361748,Inglourious Basterds,War
230,tt0086190,Star Wars: Episode VI - Return of the Jedi,Action
231,tt0086190,Star Wars: Episode VI - Return of the Jedi,Adventure
232,tt0086190,Star Wars: Episode VI - Return of the Jedi,Fantasy
233,tt0086190,Star Wars: Episode VI - Return of the Jedi,Sci-Fi
234,tt0119217,Good Will Hunting,Drama
235,tt0119217,Good Will Hunting,Romance
236,tt0105236,Reservoir Dogs,Crime
237,tt0105236,Reservoir Dogs,Drama
238,tt0105236,Reservoir Dogs,Thriller
239,tt0062622,2001: A Space Odyssey,Adventure
240,tt0062622,2001: A Space Odyssey,Sci-Fi
241,tt0180093,Requiem for a Dream,Drama
242,tt0052357,Vertigo,Mystery
243,tt0052357,Vertigo,Romance
244,tt0052357,Vertigo,Thriller
245,tt0046912,Dial M for Murder,Crime
246,tt0046912,Dial M for Murder,Thriller
247,tt0338013,Eternal Sunshine of the Spotless Mind,Drama
248,tt0338013,Eternal Sunshine of the Spotless Mind,Romance
249,tt0338013,Eternal Sunshine of the Spotless Mind,Sci-Fi
250,tt2106476,The Hunt,Drama
251,tt0033467,Citizen Kane,Drama
252,tt0033467,Citizen Kane,Mystery
253,tt8579674,1917,Drama
254,tt8579674,1917,War
255,tt0093058,Full Metal Jacket,Drama
256,tt0093058,Full Metal Jacket,War
257,tt0045152,Singin' in the Rain,Comedy
258,tt0045152,Singin' in the Rain,Musical
259,tt0045152,Singin' in the Rain,Romance
260,tt0066921,A Clockwork Orange,Crime
